Date,Description ,Link,Type,Start Time,End Time
2024-09-12,"Harris held rallies in Greensboro, North Carolina",https://www.youtube.com/watch?v=aX-uJgI3Pl8,Rally,00:06:50,
2024-09-12,"Harris held rallies in Charlotte, North Carolina",https://www.youtube.com/watch?v=4P0JCqIjRT0&ab_channel=WFAA,Rally,00:00:54,
2024-09-13,"Harris held a rally in Wilkes-Barre, Pennsylvania",https://www.youtube.com/watch?v=9yzHzGYUeTQ&ab_channel=FOX4Dallas-FortWorth,Rally,00:00:30,
2024-09-13,"Harris participated in an interview with WPVI-TV in Philadelphia, Pennsylvania",https://www.youtube.com/watch?v=9AunRg_V078&ab_channel=6abcPhiladelphia,Interview,00:00:05,
2024-09-17,"Harris participated in a televised interview with members of the National Association of Black Journalists in Philadelphia, Pennsylvania",https://www.youtube.com/watch?v=1A8aumdgaHY&ab_channel=FOX29Philadelphiaa,Interview,00:00:00,
2024-09-18, Harris spoke at the Congressional Hispanic Caucus Institute's 2024 Leadership Conference,https://www.youtube.com/watch?v=kAlAsFvOGSg&ab_channel=PBSNewsHour,Event,00:04:20,
2024-09-19,"Harris participated in a livestreamed interview with Oprah Winfrey in Farmington Hills, Michigan",https://www.youtube.com/watch?v=cIaRQPsgOzI,Interview,00:00:30,
2024-09-20,"Harris Campaign Rally in Madison, Wisconsin",https://www.youtube.com/watch?v=WLoxQ44epxI,Rally,00:01:05,
2024-09-20,"Harris Campaign Rally in Atlanta, Georgia",https://www.youtube.com/watch?v=nRkoMZB3Oq4&ab_channel=WTVCNewsChannel9,Rally,00:00:18,
2024-09-25,"Harris addressed the Economic Club of Pittsburgh in Pittsburgh, Pennsylvania",https://www.youtube.com/watch?v=-i64tqglpmA&ab_channel=WFAA,Event,00:00:00,
2024-09-27,"Harris held a rally in Douglas, Arizona",https://www.youtube.com/watch?v=QeGWT7ard5U&ab_channel=KamalaHarris,Rally,00:02:30,
2024-09-30,,https://www.youtube.com/watch?v=bzThwqnQJDY&ab_channel=ALLTHESMOKE,Podcast,00:00:30,
2024-10-03,"Harris held a rally in Ripon, Wisconsin",https://www.youtube.com/watch?v=1JPBKKfc3Ok&ab_channel=KamalaHarris,Rally,00:26:00,
2024-10-04,"Harris held a rally in Flint, Michigan",https://www.youtube.com/watch?v=gVzjoxj-ZQQ&ab_channel=KamalaHarris,Rally,00:33:54,
2024-10-04,"Harris delivered remarks in Detroit, Michigan",https://www.youtube.com/watch?v=a4mEKdROVOo&ab_channel=KamalaHarris,Event,00:01:35,
2024-10-05,"Harris delivers remarks after attending Helene response briefing in Charlotte, North Carolina",https://www.youtube.com/watch?v=dwf393HK5YQ&ab_channel=PBSNewsHour,Event,00:03:23,
2024-10-06,"Harris appeared on the ""Call Her Daddy"" podcast",,Podcast,,
2024-10-07,"Harris held a memorial event for the Hamas attack on Israel at the vice presidential residence in Washington, D.C",https://www.youtube.com/watch?v=JRYG3AP2ARs&ab_channel=C-SPAN,Event,00:00:00,
2024-10-07,"Harris participated in a ""60 Minutes"" interview.",https://www.youtube.com/watch?v=TJys7OVH24E&ab_channel=60Minutes,Interview,00:00:49,
2024-10-10,Harris held a rally in the Gila River Arizona,https://www.youtube.com/watch?v=hO08k6s4kpM&ab_channel=TheSun,Rally,00:37:33,
2024-10-11,"Harris speaks at campaign event in Scottsdale, Arizona",https://www.youtube.com/watch?v=T3KR-jtwKTM&ab_channel=PBSNewsHour,Event,00:01:34,
2024-10-14,"Harris held a rally in Erie, Pennsylvania",https://www.youtube.com/watch?v=XoRviMMWXx4&ab_channel=KamalaHarris,Rally,00:47:30,
2024-10-14,Harris participated in an interview with The Shade Room,https://www.youtube.com/watch?v=5WWnKBnHAP8&ab_channel=THESHADEROOM,Interview,,
2024-10-16,Harris participated in a televised interview on Fox News,,Interview,,
2024-10-16,"Harris held a rally in Washington Crossing, Pennsylvania with former U.S. Rep. Adam Kinzinger",https://www.youtube.com/watch?v=JyPSMeWU9Ms&ab_channel=PCNTV,Rally,00:29:00,
2024-10-17,"Kamala Harris held rally at Green Bay, WI ",https://www.youtube.com/watch?v=lCX48rn2WOA&ab_channel=WFAA,Rally,00:00:00,
2024-10-17,"Kamala Harris held rally at La Crosse, WI",https://www.youtube.com/watch?v=EziLtK2KOdU&ab_channel=WFAA,Rally,00:00:00,
2024-10-18,"Harris held campaign event in Lansing, Grand Rapids",https://www.youtube.com/watch?v=E1UtJv8ZFBk&ab_channel=PBSNewsHour,Event,00:00:00,
2024-10-18,"Harris held campaign event in Lansing, Grand Rapids",https://www.youtube.com/watch?v=V7Qq1mNIYrU&ab_channel=KamalaHarris,Rally,00:01:30,
2024-10-19,"Harris held campaign event in Atlanta, Georgia",https://www.youtube.com/watch?v=rbvyoFnsz0A&ab_channel=KamalaHarris,Event,00:42:50,
2024-10-19,Harris held campaign event in detroit michigan,https://www.youtube.com/watch?v=DqvCQPIt1M8&ab_channel=WFAA,Event,00:00:00,
2024-10-20,"Kamala Harris delivers remarks at Divine Faith Ministries in Jonesboro, Georgia ",https://www.youtube.com/watch?v=rBKvZI0AB_I&ab_channel=WAAY31News,Event,00:00:00,
2024-10-20,"Harris spoke at New Birth Missionary Baptist Church in Stonecrest, in Jonesboro, Georgia",https://www.youtube.com/watch?v=KVYbcRhOXQQ&ab_channel=WFAA,Event,00:00:24,
2024-10-21,Kamala Harris Conversation in Pennsylvania with Liz Cheney & Sarah Longwell,https://www.youtube.com/watch?v=XturwvZjc_E&ab_channel=KamalaHarris,Interview,,
2024-10-21,Kamala Harris Conversation in Michigan with Liz Cheney & Maria Shriver,https://www.youtube.com/watch?v=LVgFrlwsUoI&ab_channel=KamalaHarris,Interview,00:07:28,
2024-10-21,"Kamala Harris Conversation in Waukesha, WI",https://www.youtube.com/watch?v=pkM_QiEFNps&ab_channel=TheDemocrats,Interview,00:13:18,
2024-10-22,Harris participated in an interview with NBC News,https://www.youtube.com/watch?v=iO6Ta86wCDI&ab_channel=NBCNews,Interview,00:00:00,
2024-10-23,Harris CNN town hall,https://www.youtube.com/watch?v=U3yRr0xFZZs&ab_channel=CNN,Town Hall,00:01:58,00:24:20
2024-10-24,"Harris held a rally in Atlanta, Georgia",https://www.youtube.com/watch?v=4x1EXMyEGA8&ab_channel=KamalaHarris,Rally,02:08:20,
2024-10-25,"Harris held a rally in Houston, Texas",https://www.youtube.com/watch?v=q8p2OvDQWaY&ab_channel=WFAA,Rally,00:00:20,
2024-10-26,"Harris held a rally in Kalamazoo, Michigan",https://www.youtube.com/watch?v=wnzjBjPhrHQ&ab_channel=WFAA,Rally,00:00:50,
2024-10-27,Kamala Harris holds campaign rally in Philadelphia,https://www.youtube.com/watch?v=U1Qov_Hu3Ao&ab_channel=SkyNews,Rally,00:02:35,
2024-10-28,"Kamala Harris full speech at campaign event in Ann Arbor, MI ",https://www.youtube.com/watch?v=H2aOx0WXNak&ab_channel=WFAA,Rally,00:00:00,
2024-10-29,Kamala Harris full Ellipse Speech in Washington D.C.,https://www.youtube.com/watch?v=6G1Oou2dVdk&ab_channel=WFAA,Rally,00:00:58,
2024-10-30,"Kamala Harris full speech at campaign event in Madison, WI",https://www.youtube.com/watch?v=LnXPv7nVyx8&ab_channel=WFAA,Rally,00:00:00,
2024-10-30,"Harris holds rally in Harrisburg, Pennsylvania",https://www.youtube.com/watch?v=GoXcbU-Xjbk&ab_channel=MilwaukeeJournalSentinel,Rally,00:00:00,
2024-10-30,"Kamala Harris hosts campaign rally in Raleigh, N.C",https://www.youtube.com/watch?v=me1z4KmJqes&ab_channel=ABC33%2F40,Rally,01:07:16,
2024-10-31,Kamala Harris holds rally in Phoenix,https://www.youtube.com/watch?v=TMJx0vnYY08&ab_channel=FOX29Philadelphia,Rally,00:37:48,
2024-10-31,"Harris holds rally in Las Vegas, Nevada",https://www.youtube.com/watch?v=_jwaT6FN1kc&ab_channel=KamalaHarris,Rally,01:58:48,
2024-10-31,Kamala Harris full speech at campaign rally in Nevada,https://www.youtube.com/watch?v=5YEM-fLqJV0&ab_channel=WFAA,Rally,00:00:00,
2024-11-01,"Kamala Harris' Speech at Janesville, WI ",https://www.youtube.com/watch?v=Y3JnjDn_cwI&ab_channel=KamalaHarris,Rally,00:15:38,
2024-11-01,"Harris in Milwaukee, WI",https://www.youtube.com/watch?v=dCsk2aFv9A4&ab_channel=KamalaHarris,Rally,01:52:10,
2024-11-01,"Harris held rallies in  Little Chute, WI",https://www.youtube.com/watch?v=soG-Q0f0bdY&ab_channel=TheDemocrats,Rally,00:25:22,
2024-11-02,"Kamala Harris full speech at campaign rally in North Carolina
",https://www.youtube.com/watch?v=IBWsggOdGOA&ab_channel=WFAA,Rally,00:00:00,
2024-11-02,"Harris hosts rally in Atlanta, GA",https://www.youtube.com/watch?v=CUZ5J_t7hec&ab_channel=ABC33%2F40,Rally,00:17:00,
2024-11-03,"Harris held a rally in East Lansing, Michigan",https://www.youtube.com/watch?v=WRcl7Yd4gCA&ab_channel=ABC33%2F40,Rally,00:29:34,
2024-11-04,Kamala Harris rally in Allentown,https://www.youtube.com/watch?v=k57CWwBQ-BA&ab_channel=MilwaukeeJournalSentinel,Rally,01:03:02,
2024-11-04,Harris holds rally in Philadelphia ,https://www.youtube.com/watch?v=jHWM5pZGwIY&ab_channel=PBSNewsHour,Rally,01:38:23,
